,State,Capital,Area,Population,Official Languages,Largest Cities,Districts/Admin divisions
1,Andhra Pradesh,Amaravati,"1,60,200 km2","49,386,799",Telugu,Visakhapatnam,13
2,Arunachal Pradesh,Itanagar,83743 km2,"1,383,727",English,Itanagar,25
3,Assam,Dispur,78438 km2,"3,12,05,576",Assamese,"Guwahati, Silchar, Dibrugarh, Nagaon",33
4,Bihar,Patna,94163 km2,"10,40,99,452",Hindi,"Patna, Gaya, Bhagalpur, Muzaffarpur, Biharsharif",38
5,Chhattisgarh,Naya Raipur,"1,35,192 km2","2,55,45,198",Chhattisgarhi,"Raipur, Bhilai Nagar, Korba, Bilaspur",27
6,Goa,Panaji,3702 km2,"14,58,545",Konkani,Panaji,2
7,Gujarat,Gandhinagar,"1,96,244 km2","6,04,39,692",Gujarati,"Ahmedabad, Surat, Vadodara, Rajkot, Bhavnagar",33
8,Haryana,Chandigarh,44212 km2,"2,53,51,462",Haryanvi,"Faridabad, Gurgaon, Rohtak, Hisar, Panipat",22
9,Himachal Pradesh,Shimla,55673 km2,"68,64,602",Hindi,Shimla,12
10,Jharkhand,Ranchi,79716 km2,"3,29,88,134",Hindi,"Dhanbad, Ranchi, Jamshedpur, Bokaro Steel, Mango",24
11,Karnataka,Bangalore,"1,91,791 km2","6,10,95,297",Kannada,"Bangalore, Hubli and Dharwad, Mysore, Gulbarga, Belgaum",30
12,Kerala,Thiruvananthapuram,38852 km2,"3,34,06,061",Malayalam,"Trivandrum, Kochi, Kozhikode, Kollam, Thrissur",14
13,Madhya Pradesh,Bhopal,"3,08,252 km2","7,26,26,809",Hindi,"Indore, Bhopal, Jabalpur, Gwalior, Ujjain",52
14,Maharashtra,Mumbai,"3,07,713 km2","11,23,74,333",Marathi,"Mumbai, Pune, Nagpur, Thane, Pimpri and Chinchwad",36
15,Manipur,Imphal,22327 km2,"28,55,794",Meiteilon (Manipuri),Imphal,16
16,Meghalaya,Shillong,22429 km2,"29,66,889",English,Shillong,11
17,Mizoram,Aizawl,21081 km2,"10,97,206",Mizo,Aizawl,8
18,Nagaland,Kohima,16579 km2,"19,78,502",English,Dimapur,12
19,Odisha,Bhubaneswar,"1,55,707 km2","4,19,74,218",Oriya,"Bhubaneswar, Cuttack, Brahmapur Town, Raurkela, Puri Town",30
20,Punjab,Chandigarh,50362 km2,"2,77,43,338",Punjabi,"Ludhiana, Amritsar, Jalandhar, Patiala, Bathinda",22
21,Rajasthan,Jaipur,"3,42,239 km2","6,85,48,437",Hindi,"Jaipur, Jodhpur, Kota, Bikaner, Ajmer",33
22,Sikkim,Gangtok,7096 km2,"6,10,577",Nepali,Gangtok,4
23,Tamil Nadu,Chennai,"1,30,060 km2","7,21,47,030",Tamil,"Chennai, Coimbatore, Madurai, Tiruchirappalli, Salem",37
24,Telangana,Hyderabad,114840 km2,"35,193,978","Telugu, Urdu",Hyderabad,33
25,Tripura,Agartala,10486 km2,"36,73,917",Bengali And Kokborok,Agartala,8
26,Uttar Pradesh,Lucknow,"2,40,928 km2","19,98,12,341",Hindi,"Lucknow, Kanpur, Ghaziabad, Agra, Meerut",75
27,Uttarakhand,"Dehradun, Gairsain (Summer)",53483 km2,"1,00,86,292",Hindi,"Dehradun, Haridwar, Haldwani and Kathgodam, Rudrapur",13
28,West Bengal,Kolkata,88752 km2,"9,12,76,115",Bengali,"Kolkata, Haora, Durgapur, Asansol, Siliguri",23
